Anbieter;Anbietertyp;Hersteller;Modell;Speicher GB;Farbe;Zustand;Preis EUR;Preisart;Tarifreferenz;Verfuegbarkeit;Quelle;Abgerufen am;Listungs-ID;SKU-ID
ALDI TALK;discount;Apple;iPhone 15;128;schwarz;refurbished;499,00;ohne Vertrag;;lieferbar;https://www.alditalk.de/p/apple-apple-iphone-15-5g-128-gb-refurbished--schwarz-a3090-30041755A1?FF_QUERY=*%3Acategory_id%3BG5DE0Z0SIKUBHRGTNF411A7XPLN9RV3D&FF_POS=21&FF_PAGE=1&FF_PAGESIZE=30&FF_SCORE=100.0&FF_CAMPAIGN=&FF_CAMPAIGN_PAGE_ID=;2026-08-29;aldi-talk--apple-iphone-15-128gb-schwarz-refurbished;apple-iphone-15-128gb-schwarz-refurbished
ALDI TALK;discount;Samsung;Galaxy A17;128;schwarz;neu;129,00;ohne Vertrag;;lieferbar;https://www.alditalk.de/p/samsung-samsung-galaxy-a17-lte-128-gb-black-sm-a175f-dsb--beclad-starter-kit-fur-samsung-galaxy-a17-330042091A1?FF_QUERY=*%3Acategory_id%3BG5DE0Z0SIKUBHRGTNF411A7XPLN9RV3D&FF_POS=22&FF_PAGE=1&FF_PAGESIZE=30&FF_SCORE=100.0&FF_CAMPAIGN=&FF_CAMPAIGN_PAGE_ID=;2026-08-29;aldi-talk--samsung-galaxy-a17-128gb-schwarz;samsung-galaxy-a17-128gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 15;128;schwarz;neu;709,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-15.html;2026-08-29;vodafone--apple-iphone-15-128gb-schwarz;apple-iphone-15-128gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 15;256;schwarz;neu;839,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-15.html;2026-08-29;vodafone--apple-iphone-15-256gb-schwarz;apple-iphone-15-256gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 16;128;blau;neu;849,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16.html;2026-08-29;vodafone--apple-iphone-16-128gb-blau;apple-iphone-16-128gb-blau
Vodafone;netzbetreiber;Apple;iPhone 16;128;Blaugrün;neu;849,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16.html;2026-08-29;vodafone--apple-iphone-16-128gb-blaugruen;apple-iphone-16-128gb-blaugruen
Vodafone;netzbetreiber;Apple;iPhone 16;128;rosa;neu;849,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16.html;2026-08-29;vodafone--apple-iphone-16-128gb-rosa;apple-iphone-16-128gb-rosa
Vodafone;netzbetreiber;Apple;iPhone 16;128;schwarz;neu;849,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16.html;2026-08-29;vodafone--apple-iphone-16-128gb-schwarz;apple-iphone-16-128gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 16;128;weiss;neu;849,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16.html;2026-08-29;vodafone--apple-iphone-16-128gb-weiss;apple-iphone-16-128gb-weiss
Vodafone;netzbetreiber;Apple;iPhone 16 Plus;128;schwarz;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16-plus.html;2026-08-29;vodafone--apple-iphone-16-plus-128gb-schwarz;apple-iphone-16-plus-128gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 16e;128;schwarz;neu;599,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16e.html;2026-08-29;vodafone--apple-iphone-16e-128gb-schwarz;apple-iphone-16e-128gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 16e;128;weiss;neu;599,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-16e.html;2026-08-29;vodafone--apple-iphone-16e-128gb-weiss;apple-iphone-16e-128gb-weiss
Vodafone;netzbetreiber;Apple;iPhone 17;256;gruen;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-256gb-gruen;apple-iphone-17-256gb-gruen
Vodafone;netzbetreiber;Apple;iPhone 17;256;Nebelblau;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-256gb-nebelblau;apple-iphone-17-256gb-nebelblau
Vodafone;netzbetreiber;Apple;iPhone 17;256;schwarz;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-256gb-schwarz;apple-iphone-17-256gb-schwarz
Vodafone;netzbetreiber;Apple;iPhone 17;256;violett;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-256gb-violett;apple-iphone-17-256gb-violett
Vodafone;netzbetreiber;Apple;iPhone 17;256;weiss;neu;949,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-256gb-weiss;apple-iphone-17-256gb-weiss
Vodafone;netzbetreiber;Apple;iPhone 17;512;gruen;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-512gb-gruen;apple-iphone-17-512gb-gruen
Vodafone;netzbetreiber;Apple;iPhone 17;512;Nebelblau;neu;1199,90;ohne Vertrag;;lieferbar;https://www.vodafone.de/privat/handys/iphone-17.html;2026-08-29;vodafone--apple-iphone-17-512gb-nebelblau;apple-iphone-17-512gb-nebelblau
