Listungs-ID;SKU-ID;Anbieter;Hersteller;Modell;Datum;Preis EUR;Preisart;Tarifreferenz;Verfuegbarkeit;Quelle
aldi-talk--apple-iphone-15-128gb-schwarz-refurbished;apple-iphone-15-128gb-schwarz-refurbished;ALDI TALK;Apple;iPhone 15;2026-08-10;499,00;ohne Vertrag;;lieferbar;https://www.alditalk.de/p/apple-apple-iphone-15-5g-128-gb-refurbished--schwarz-a3090-30041755A1?FF_QUERY=*%3Acategory_id%3BG5DE0Z0SIKUBHRGTNF411A7XPLN9RV3D&FF_POS=18&FF_PAGE=1&FF_PAGESIZE=30&FF_SCORE=100.0&FF_CAMPAIGN=&FF_CAMPAIGN_PAGE_ID=
mobilcom-debitel--apple-iphone-16e-128gb-schwarz;apple-iphone-16e-128gb-schwarz;mobilcom-debitel;Apple;iPhone 16e;2026-08-10;599,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-3925066?ds=P-4038730
mobilcom-debitel--apple-iphone-16e-128gb-weiss;apple-iphone-16e-128gb-weiss;mobilcom-debitel;Apple;iPhone 16e;2026-08-10;599,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-3925066?ds=P-4038739
mobilcom-debitel--apple-iphone-16e-256gb-schwarz;apple-iphone-16e-256gb-schwarz;mobilcom-debitel;Apple;iPhone 16e;2026-08-10;829,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-3925066?ds=P-4038742
mobilcom-debitel--apple-iphone-16e-256gb-weiss;apple-iphone-16e-256gb-weiss;mobilcom-debitel;Apple;iPhone 16e;2026-08-10;829,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-3925066?ds=P-4038751
mobilcom-debitel--apple-iphone-16e-512gb-schwarz;apple-iphone-16e-512gb-schwarz;mobilcom-debitel;Apple;iPhone 16e;2026-08-10;1079,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-3925066?ds=P-4038754
mobilcom-debitel--apple-iphone-16e-512gb-weiss;apple-iphone-16e-512gb-weiss;mobilcom-debitel;Apple;iPhone 16e;2026-08-10;1079,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-3925066?ds=P-4038763
mobilcom-debitel--apple-iphone-17-256gb-gruen;apple-iphone-17-256gb-gruen;mobilcom-debitel;Apple;iPhone 17;2026-08-10;949,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356761
mobilcom-debitel--apple-iphone-17-256gb-nebelblau;apple-iphone-17-256gb-nebelblau;mobilcom-debitel;Apple;iPhone 17;2026-08-10;949,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356755
mobilcom-debitel--apple-iphone-17-256gb-schwarz;apple-iphone-17-256gb-schwarz;mobilcom-debitel;Apple;iPhone 17;2026-08-10;949,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356749
mobilcom-debitel--apple-iphone-17-256gb-violett;apple-iphone-17-256gb-violett;mobilcom-debitel;Apple;iPhone 17;2026-08-10;949,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356758
mobilcom-debitel--apple-iphone-17-256gb-weiss;apple-iphone-17-256gb-weiss;mobilcom-debitel;Apple;iPhone 17;2026-08-10;949,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356752
mobilcom-debitel--apple-iphone-17-512gb-gruen;apple-iphone-17-512gb-gruen;mobilcom-debitel;Apple;iPhone 17;2026-08-10;1199,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356776
mobilcom-debitel--apple-iphone-17-512gb-nebelblau;apple-iphone-17-512gb-nebelblau;mobilcom-debitel;Apple;iPhone 17;2026-08-10;1199,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356770
mobilcom-debitel--apple-iphone-17-512gb-schwarz;apple-iphone-17-512gb-schwarz;mobilcom-debitel;Apple;iPhone 17;2026-08-10;1199,00;ohne Vertrag;;lieferbar;https://www.freenet.de/handys-smartphones/p/P-M-4234655?ds=P-4356764
