Hersteller;Modell;Speicher GB;Ab-Preis EUR;Anbieter (ab-Preis);Anbieterzahl;Spanne von EUR;Spanne bis EUR;Nur im Bündel ab EUR/Monat;Bündel-Anbieter;Abgerufen am;Quelle
Apple;iPhone 17 Pro;256;1179,00;Saturn;7;1179,00;1449,00;;;2026-09-23;https://www.saturn.de/de/product/_apple-iphone-17-pro-5g-256-gb-cosmic-orange-dual-sim-3013586.html
Fairphone;Fairphone 6;256;539,00;ALDI TALK;6;539,00;599,00;;;2026-09-23;https://www.alditalk.de/p/fairphone-fairphone-gen-6-256-gb-forest-green-model-fp6-30042279A1?FF_QUERY=*%3Acategory_id%3BG5DE0Z0SIKUBHRGTNF411A7XPLN9RV3D&FF_POS=18&FF_PAGE=1&FF_PAGESIZE=30&FF_SCORE=100.0&FF_CAMPAIGN=&FF_CAMPAIGN_PAGE_ID=
Google;Pixel 11;256;973,00;congstar;5;973,00;999,90;;;2026-09-23;https://www.congstar.de/geraete/google/google-pixel-11/
Nothing;Nothing Phone (3);256;595,00;o2;2;;;;;2026-09-23;https://www.o2online.de/e-shop/nothing/nothing-phone-3-256gb-schwarz-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Samsung;Galaxy S26 Plus;256;1199,90;Vodafone;5;1199,90;1249,00;;;2026-09-23;https://www.vodafone.de/privat/handys/samsung-galaxy-s26-plus.html
Xiaomi;Xiaomi 17;512;955,00;o2;3;955,00;1029,90;;;2026-09-23;https://www.o2online.de/e-shop/xiaomi/xiaomi-17-512gb-schwarz-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Apple;iPhone 17 Pro;512;1419,00;Saturn;4;1419,00;1699,00;;;2026-09-23;https://www.saturn.de/de/product/_apple-iphone-17-pro-5g-512-gb-cosmic-orange-dual-sim-3013589.html
Google;Pixel 11;512;1129,00;congstar;2;;;;;2026-09-23;https://www.congstar.de/geraete/google/google-pixel-11/
Nothing;Nothing Phone (4a);128;379,00;o2;1;;;;;2026-09-23;https://www.o2online.de/e-shop/nothing/nothing-phone-4a-128gb-schwarz-details?ohne-tarif=ja&zielgruppe=privatkunden&ratenzahlung=24&vertragsart=ratenzahlung
Samsung;Galaxy S26 Plus;512;1399,90;Vodafone;3;1399,90;1449,00;;;2026-09-23;https://www.vodafone.de/privat/handys/samsung-galaxy-s26-plus.html
Xiaomi;Xiaomi 17 Ultra;512;1261,00;congstar;3;1261,00;1499,90;;;2026-09-22;https://www.congstar.de/geraete/xiaomi/xiaomi-17-ultra/
