Art;Modell;Speicher GB;Anbieter;Anbietertyp;Tarif;Band;Zustand;Zuzahlung EUR;Tarif/Monat EUR;Geräterate EUR;Bündel/Monat EUR;Laufzeit Monate;Anschlusspreis EUR;Leitzahl-Zeitraum Monate;Kosten über 24 Monate EUR;Kosten über die Bündellaufzeit EUR;Abgerufen am;Quelle;SKU-ID
Bündel;iPhone 15;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;220,00;;;32,99;36;39,90;36;;1447,54;2026-09-24;https://mobile.1und1.de/iphone-15;apple-iphone-15-128gb-blau
Bündel;iPhone 15;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;220,00;;;32,99;36;39,90;36;;1447,54;2026-09-14;https://mobile.1und1.de/iphone-15;apple-iphone-15-128gb-schwarz
Bündel;iPhone 15;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;270,00;;;36,99;36;39,90;36;;1641,54;2026-09-24;https://mobile.1und1.de/iphone-15;apple-iphone-15-256gb-blau
Bündel;iPhone 15;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;270,00;;;36,99;36;39,90;36;;1641,54;2026-09-14;https://mobile.1und1.de/iphone-15;apple-iphone-15-256gb-schwarz
Bündel;iPhone 16;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;280,00;;;37,99;36;39,90;36;;1687,54;2026-09-24;https://mobile.1und1.de/iphone-16;apple-iphone-16-128gb-blau
Bündel;iPhone 16 Plus;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;300,00;;;39,99;36;39,90;36;;1779,54;2026-09-24;https://mobile.1und1.de/iphone-16-plus;apple-iphone-16-plus-128gb-blau
Bündel;iPhone 16 Plus;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;350,00;;;43,99;36;39,90;36;;1973,54;2026-09-24;https://mobile.1und1.de/iphone-16-plus;apple-iphone-16-plus-256gb-blau
Bündel;iPhone 16e;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;180,00;;;29,99;36;39,90;36;;1299,54;2026-09-24;https://mobile.1und1.de/iphone-16e;apple-iphone-16e-128gb-schwarz
Bündel;iPhone 17;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;340,00;;;42,99;36;39,90;36;;1927,54;2026-09-24;https://mobile.1und1.de/iphone-17;apple-iphone-17-256gb-nebelblau
Bündel;iPhone 17;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;420,00;;;49,99;36;39,90;36;;2259,54;2026-09-24;https://mobile.1und1.de/iphone-17;apple-iphone-17-512gb-nebelblau
Bündel;iPhone 17 Pro;1024;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;530,00;;;58,99;36;39,90;36;;2693,54;2026-09-24;https://mobile.1und1.de/iphone-17-pro;apple-iphone-17-pro-1024gb-cosmic-orange
Bündel;iPhone 17 Pro;1024;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;530,00;;;58,99;36;39,90;36;;2693,54;2026-09-09;https://mobile.1und1.de/iphone-17-pro;apple-iphone-17-pro-1024gb-tiefblau
Bündel;iPhone 17 Pro;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;360,00;;;44,99;36;39,90;36;;2019,54;2026-09-24;https://mobile.1und1.de/iphone-17-pro;apple-iphone-17-pro-256gb-cosmic-orange
Bündel;iPhone 17 Pro;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;450,00;;;51,99;36;39,90;36;;2361,54;2026-09-24;https://mobile.1und1.de/iphone-17-pro;apple-iphone-17-pro-512gb-tiefblau
Bündel;iPhone 17 Pro Max;1024;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;620,00;;;65,99;36;39,90;36;;3035,54;2026-09-24;https://mobile.1und1.de/iphone-17-pro-max;apple-iphone-17-pro-max-1024gb-silber
Bündel;iPhone 17 Pro Max;2048;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;770,00;;;78,99;36;39,90;36;;3653,54;2026-09-24;https://mobile.1und1.de/iphone-17-pro-max;apple-iphone-17-pro-max-2048gb-silber
Bündel;iPhone 17 Pro Max;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;420,00;;;49,99;36;39,90;36;;2259,54;2026-09-24;https://mobile.1und1.de/iphone-17-pro-max;apple-iphone-17-pro-max-256gb-silber
Bündel;iPhone 17 Pro Max;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;530,00;;;58,99;36;39,90;36;;2693,54;2026-09-24;https://mobile.1und1.de/iphone-17-pro-max;apple-iphone-17-pro-max-512gb-silber
Bündel;iPhone 17e;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;280,00;;;37,99;36;39,90;36;;1687,54;2026-09-24;https://mobile.1und1.de/iphone-17e;apple-iphone-17e-256gb-schwarz
Bündel;iPhone 17e;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;360,00;;;44,99;36;39,90;36;;2019,54;2026-09-24;https://mobile.1und1.de/iphone-17e;apple-iphone-17e-512gb-schwarz
Bündel;iPhone 18 Pro;1024;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;680,00;;;70,99;36;39,90;36;;3275,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro;apple-iphone-18-pro-1024gb-polar
Bündel;iPhone 18 Pro;2048;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;930,00;;;91,99;36;39,90;36;;4281,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro;apple-iphone-18-pro-2048gb-polar
Bündel;iPhone 18 Pro;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;420,00;;;49,99;36;39,90;36;;2259,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro;apple-iphone-18-pro-256gb-polar
Bündel;iPhone 18 Pro;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;510,00;;;56,99;36;39,90;36;;2601,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro;apple-iphone-18-pro-512gb-polar
Bündel;iPhone 18 Pro Max;1024;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;740,00;;;75,99;36;39,90;36;;3515,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro-max;apple-iphone-18-pro-max-1024gb-polar
Bündel;iPhone 18 Pro Max;2048;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;990,00;;;96,99;36;39,90;36;;4521,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro-max;apple-iphone-18-pro-max-2048gb-polar
Bündel;iPhone 18 Pro Max;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;480,00;;;54,99;36;39,90;36;;2499,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro-max;apple-iphone-18-pro-max-256gb-polar
Bündel;iPhone 18 Pro Max;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;570,00;;;61,99;36;39,90;36;;2841,54;2026-09-24;https://mobile.1und1.de/iphone-18-pro-max;apple-iphone-18-pro-max-512gb-polar
Bündel;iPhone Air;1024;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;450,00;;;51,99;36;39,90;36;;2361,54;2026-09-24;https://mobile.1und1.de/iphone-air;apple-iphone-air-1024gb-space-schwarz
Bündel;iPhone Air;1024;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;450,00;;;51,99;36;39,90;36;;2361,54;2026-09-09;https://mobile.1und1.de/iphone-air;apple-iphone-air-1024gb-wolkenweiss
Bündel;iPhone Air;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;280,00;;;37,99;36;39,90;36;;1687,54;2026-09-24;https://mobile.1und1.de/iphone-air;apple-iphone-air-256gb-lichtgold
Bündel;iPhone Air;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;360,00;;;44,99;36;39,90;36;;2019,54;2026-09-24;https://mobile.1und1.de/iphone-air;apple-iphone-air-512gb-lichtgold
Bündel;Fairphone 6;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;200,00;;;30,99;36;39,90;36;;1355,54;2026-09-24;https://mobile.1und1.de/fairphone-6;fairphone-6-256gb-forest-green
Bündel;Pixel 10a;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;140,00;;;25,99;36;39,90;36;;1115,54;2026-09-24;https://mobile.1und1.de/google-pixel-10a;google-pixel-10a-128gb-violett
Bündel;Pixel 10a;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;170,00;;;28,99;36;39,90;36;;1253,54;2026-09-24;https://mobile.1und1.de/google-pixel-10a;google-pixel-10a-256gb-violett
Bündel;Pixel 11;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;280,00;;;37,99;36;39,90;36;;1687,54;2026-09-24;https://mobile.1und1.de/google-pixel-11;google-pixel-11-256gb-frost
Bündel;Pixel 11;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;320,00;;;40,99;36;39,90;36;;1835,54;2026-09-24;https://mobile.1und1.de/google-pixel-11;google-pixel-11-512gb-frost
Bündel;Pixel 11 Pro;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;340,00;;;42,99;36;39,90;36;;1927,54;2026-09-24;https://mobile.1und1.de/google-pixel-11-pro;google-pixel-11-pro-256gb-canyon
Bündel;Pixel 11 Pro;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;380,00;;;45,99;36;39,90;36;;2075,54;2026-09-24;https://mobile.1und1.de/google-pixel-11-pro;google-pixel-11-pro-512gb-canyon
Bündel;Pixel 11 Pro Fold;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;640,00;;;67,99;36;39,90;36;;3127,54;2026-09-24;https://mobile.1und1.de/google-pixel-11-pro-fold;google-pixel-11-pro-fold-256gb-olive
Bündel;Pixel 11 Pro Fold;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;680,00;;;70,99;36;39,90;36;;3275,54;2026-09-24;https://mobile.1und1.de/google-pixel-11-pro-fold;google-pixel-11-pro-fold-512gb-olive
Bündel;Pixel 11 Pro XL;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;440,00;;;50,99;36;39,90;36;;2315,54;2026-09-24;https://mobile.1und1.de/google-pixel-11-pro-xl;google-pixel-11-pro-xl-256gb-canyon
Bündel;Pixel 11 Pro XL;512;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;470,00;;;53,99;36;39,90;36;;2453,54;2026-09-24;https://mobile.1und1.de/google-pixel-11-pro-xl;google-pixel-11-pro-xl-512gb-canyon
Bündel;Nothing Phone (3);256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;160,00;;;27,99;36;39,90;36;;1207,54;2026-09-24;https://mobile.1und1.de/nothing-phone-3;nothing-phone-3-256gb-schwarz
Bündel;Nothing Phone (4a) Pro;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;140,00;;;25,99;36;39,90;36;;1115,54;2026-09-24;https://mobile.1und1.de/nothing-phone-4a-pro;nothing-phone-4a-pro-128gb-silber
Bündel;Galaxy A17;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;40,00;;;17,99;36;39,90;36;;727,54;2026-09-24;https://mobile.1und1.de/samsung-galaxy-a17-5g;samsung-galaxy-a17-128gb-schwarz
Bündel;Galaxy A27;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;100,00;;;22,99;36;39,90;36;;967,54;2026-09-24;https://mobile.1und1.de/samsung-galaxy-a27-5g;samsung-galaxy-a27-128gb-schwarz
Bündel;Galaxy A57;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;140,00;;;25,99;36;39,90;36;;1115,54;2026-09-24;https://mobile.1und1.de/samsung-galaxy-a57;samsung-galaxy-a57-128gb-awesome-gray
Bündel;Galaxy A57;256;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;160,00;;;27,99;36;39,90;36;;1207,54;2026-09-24;https://mobile.1und1.de/samsung-galaxy-a57;samsung-galaxy-a57-256gb-awesome-gray
Bündel;Galaxy S25;128;1&1;netzbetreiber;1&1 All-Net-Flat S;Klein;neu;220,00;;;32,99;36;39,90;36;;1447,54;2026-09-24;https://mobile.1und1.de/samsung-galaxy-s25;samsung-galaxy-s25-128gb-silber
